ticker	label	date	open	high	low	close	volume	currency
FR0000120404	ACCOR	02/01/2020	42,120	42,240	41,760	41,760	575627	EUR
FR0000120404	ACCOR	03/01/2020	41,660	41,700	41,000	41,210	798710	EUR
FR0000120404	ACCOR	06/01/2020	40,760	40,850	39,850	40,250	1237182	EUR
FR0000120404	ACCOR	07/01/2020	40,370	40,690	39,940	40,350	1040740	EUR
FR0000120404	ACCOR	08/01/2020	40,150	40,400	39,830	40,400	842284	EUR
FR0000120404	ACCOR	09/01/2020	40,710	40,860	40,430	40,580	989133	EUR
FR0000120404	ACCOR	10/01/2020	40,600	40,890	40,310	40,480	697862	EUR
FR0000120404	ACCOR	13/01/2020	40,440	40,590	40,140	40,340	478344	EUR
FR0000120404	ACCOR	14/01/2020	40,320	41,010	40,190	41,010	1138355	EUR
FR0000120404	ACCOR	15/01/2020	41,010	41,090	40,260	40,580	865529	EUR
FR0000120404	ACCOR	16/01/2020	40,710	40,750	39,860	40,260	1156071	EUR
FR0000120404	ACCOR	17/01/2020	40,390	40,590	40,050	40,200	815182	EUR
FR0000120404	ACCOR	20/01/2020	40,300	40,340	39,370	39,380	853572	EUR
FR0000120404	ACCOR	21/01/2020	39,240	39,390	38,590	38,840	1096402	EUR
FR0000120404	ACCOR	22/01/2020	38,890	39,040	38,590	38,590	777505	EUR
FR0000120404	ACCOR	23/01/2020	38,350	38,350	37,630	37,730	1266494	EUR
FR0000120404	ACCOR	24/01/2020	37,980	38,620	37,920	38,180	1334245	EUR
FR0000120404	ACCOR	27/01/2020	37,000	37,070	36,120	36,850	1867873	EUR
FR0000120404	ACCOR	28/01/2020	37,050	37,420	36,590	37,270	1117370	EUR
FR0000120404	ACCOR	29/01/2020	37,230	37,830	37,090	37,530	1292194	EUR
FR0000120404	ACCOR	30/01/2020	37,100	37,280	36,770	37,280	1144538	EUR
FR0000120404	ACCOR	31/01/2020	37,490	37,680	36,700	37,030	1220473	EUR
FR0000120404	ACCOR	03/02/2020	37,140	37,410	36,980	37,410	973974	EUR
FR0000120404	ACCOR	04/02/2020	37,580	37,930	37,140	37,740	954600	EUR
FR0000120404	ACCOR	05/02/2020	37,660	38,990	37,590	38,480	1356847	EUR
FR0000120404	ACCOR	06/02/2020	38,770	39,110	38,550	38,670	791139	EUR
FR0000120404	ACCOR	07/02/2020	38,480	38,740	37,700	38,030	756272	EUR
FR0000120404	ACCOR	10/02/2020	37,940	38,150	37,520	37,780	675119	EUR
FR0000120404	ACCOR	11/02/2020	38,200	38,350	37,870	38,150	828958	EUR
FR0000120404	ACCOR	12/02/2020	38,190	38,720	38,160	38,640	995459	EUR
FR0000120404	ACCOR	13/02/2020	38,500	38,700	38,020	38,690	823815	EUR
FR0000120404	ACCOR	14/02/2020	38,550	38,970	38,510	38,510	965452	EUR
FR0000120404	ACCOR	17/02/2020	38,510	38,750	38,480	38,750	667863	EUR
FR0000120404	ACCOR	18/02/2020	38,540	38,890	38,380	38,760	1057164	EUR
FR0000120404	ACCOR	19/02/2020	38,970	39,280	38,750	38,940	811425	EUR
FR0000120404	ACCOR	20/02/2020	38,850	39,140	38,700	38,990	1093845	EUR
FR0000120404	ACCOR	21/02/2020	38,430	39,050	38,260	38,500	1455524	EUR
FR0000120404	ACCOR	24/02/2020	37,000	37,000	35,520	36,360	2722967	EUR
FR0000120404	ACCOR	25/02/2020	36,300	36,590	35,110	35,220	2195877	EUR
FR0000120404	ACCOR	26/02/2020	34,710	34,780	33,960	34,560	1829752	EUR
FR0000120404	ACCOR	27/02/2020	33,750	34,120	32,630	33,330	2245324	EUR
FR0000120404	ACCOR	28/02/2020	31,970	32,980	31,630	32,670	2574843	EUR
FR0000120404	ACCOR	02/03/2020	33,290	33,420	32,160	33,080	2702293	EUR
FR0000120404	ACCOR	03/03/2020	33,620	34,080	33,070	33,130	1846481	EUR
FR0000120404	ACCOR	04/03/2020	33,190	33,850	32,850	33,040	2063895	EUR
